"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"5828","Chevrolet",2020,43480,3.6,1,"Pertol","Four-wheel Drive",18,25,0,1,1,1,0,1,40885
"5887","Mitsubishi",1999,176424,3,0,"Pertol","Front-wheel Drive",25,28,1,0,0,0,0,0,10000
"5951","Nissan",2019,38149,4,1,"Petrol","Four-wheel Drive",28,35,0,0,1,1,0,1,27992
"6008","Volkswagen",2020,25168,2,1,"Petrol","Four-wheel Drive",22,31,0,1,1,1,0,0,33990
"6070","Hyundai",2020,70129,3.8,1,"Petrol","Four-wheel Drive",24,35,0,1,1,1,1,1,36800
"6129","Toyota",2021,7099,3.5,1,"Petrol","Four-wheel Drive",18,22,0,1,0,1,0,0,43900
"6189","FIAT",2017,59925,1.4,1,"Petrol","Front-wheel Drive",22,27,1,0,0,1,0,0,14600
"6249","Chevrolet",2021,20370,1.2,1,"Petrol","Front-wheel Drive",28,31,0,0,0,1,0,0,21560
"6307","Nissan",2023,293,2.5,1,"Petrol","Front-wheel Drive",21,28,0,1,0,1,0,0,28686
"6367","MINI",2016,73826,2,1,"Petrol","Front-wheel Drive",23,32,0,0,0,1,0,0,17998
"6420","Volvo",2015,97356,2,1,"Petrol","Front-wheel Drive",20,27,1,0,1,1,0,0,15000
"6482","Cadillac",2019,58808,3.6,1,"Petrol","Four-wheel Drive",20,28,0,1,0,1,0,0,30988
"6540","Land",2012,120210,5,1,"Petrol","Four-wheel Drive",21,27,1,0,1,1,0,0,10995
"6601","FIAT",2018,11986,NA,0,"Electric","Front-wheel Drive",NA,NA,0,1,1,1,0,1,14799
"6658","Cadillac",2017,89704,6.2,1,"Petrol","Four-wheel Drive",NA,NA,1,0,1,1,1,0,36894
"6713","Mercedes-Benz",2018,95824,4.7,1,"Petrol","Four-wheel Drive",17,22,0,1,1,1,1,1,35995
"6772","Mazda",2023,37826,2.5,1,"Petrol","Four-wheel Drive",22,28,0,1,0,0,0,1,34998
"6831","Kia",2014,132544,3.3,1,"Petrol","Front-wheel Drive",24,35,0,0,1,1,0,0,10599
"6889","Toyota",2018,98682,4,1,"Petrol","Four-wheel Drive",17,20,1,0,1,1,0,1,30500
"6953","Volvo",2019,108982,2,1,"Petrol","Front-wheel Drive",18,26,1,1,1,1,0,1,17995
"7010","Volkswagen",2020,40003,2,1,"Petrol","Front-wheel Drive",24,-30,1,1,0,1,1,1,29994
"7063","Audi",2010,65500,2,1,"Petrol","Four-wheel Drive",21,-30,0,0,0,1,0,1,14000
"7122","FIAT",2013,39762,1.4,0,"Petrol","Front-wheel Drive",28,34,0,1,0,1,0,0,14496
"7179","Volkswagen",2011,52073,2,1,"Diesel","Front-wheel Drive",NA,NA,0,0,0,1,0,0,13475
"7238","Volvo",2018,57786,2,1,"Petrol","Four-wheel Drive",21,32,0,0,1,1,0,0,30950
"7293","Nissan",2020,14608,3.5,1,"Petrol","Four-wheel Drive",27,39,0,1,1,1,0,1,34999
